text,label,prediction
"Join us for our eighth annual Pratham Raleigh-RTP 5K Run/Walk on Sunday, Sept, 12, 2021:  https://t.co/4mDnt36yJA  #PrathamRaleigh  All in-person events will follow lawfully required COVID-19 health and safety protocols and adhere to CDC guidelines.  https://t.co/xfrtnvmwKP",0,1
"Report from an employee at Bickford of Oswego in OSWEGO, IL on Mar 02, 2021: ""The employer has not implemented the CDC guidelines to address the COVID-19 pandemic. The Employer failed to provide...  https://t.co/FWdNx25wIu",0,1
Biden admin to move $860M in COVID funds to house illegal immigrant children.  CDC guidelines require the agency to quarantine children upon receiving them.    https://t.co/gD5BMMjYUm,0,1
"Serum Institute (Denies Rumours Of Availability Of #CovidVaccine #COVISHIELD In 73 Days

Read here… https://t.co/Y6kD1XGICZ",1,0
"Ask not why was approved but, how much it adds up. The current #corporatocracy government is the reason.… https://t.co/QSe0MI0YsZ",0,1
"Let’s all work together to #SlowTheSpread shop my handmade #facemasks before they’re gone 
MadMaskr… https://t.co/kgR6dL5EMy",0,1
" https://t.co/EDfLIopQrq I told all my friends not to get excited! This Covid war isn't over! I don't know about you, but I don't trust the CDC and their so called guidelines. I'll keep wearing my masks when I go public places.",0,1
"I feel like Governor Andrew Cuomo didn’t follow the CDC, CMS, and HHS guidelines on people with disabilities of last year. ",0,1
#CovidVaccine trials have been fast-tracked &amp; Phase 3 trials are being exempted by many countri… https://t.co/f9054R16Yj,1,0
"Did give any indian 15 lakh rs as promised ????
So people of #bihar think thrice before u vote for… https://t.co/KS9d0Toh4X",0,1
"No #compromise on quality of #COVIDvaccine: CMD

https://t.co/5sLg8aDgqz",1,0
"While I agree, they’re following a lot of CDC/state guidelines still. They can still have their wishes for the most part. I kinda view it this way too - if a child visited a large gathering or air traveled and got Covid, that would be even worse.",0,1
"I haven't been locked in my home, because some of us have to work. I'll base things on the increase of case numbers in the following weeks, after everything opens up without masks. If we were to follow CDC guidelines, this wouldn't be happening right now. Thanks for your input.",0,1
"6 people near me on Flight 239 (29A, 29D, 29E, 29F, 28C) didn’t wear masks or didn’t wear them properly. Flight attendants did nothing when I asked. Why is Frontier violating FAA, DOT, and CDC guidelines?",0,1
"Like should be.... #solidarity among countries!
This is the way to face the #COVID_19......only through SOLIDARITY… https://t.co/o4WqTxau4P",0,1
I don't believe you have Addiction issues. I believe you are like the rest of us who have been cut off or doses significantly reduced b/c of CDC Opioid prescribing guidelines.,0,1
"#PuneHospital to begin Phase III of human trial of #COVIDvaccine https://t.co/kUANFH2jwZ 
#covid19 #COVID19vaccine… https://t.co/V92Fd9iDhR",1,0
"#NWO #Pope Francis Sides With Bill #Gates 

And Says #COVIDVaccine 

Must Be 'Universal And For All People' 

Despi… https://t.co/16s0lZ3Idu",1,0
CDC’s COVID-19 Science Update  https://t.co/tsyfgXLUKA via      #DeltaPlusVariant #COVID19  #StaySafe #CDCGuidelines,0,1
"$vxrt

I expect to be trading in the 20 range this week! Watch!

#OperationWarpSpeed #vaccinefunding #oralvaccine… https://t.co/3LYoc6ToEO",1,0
"CDC made similar recs years ago!   It’s like they don’t trust women to plan their pregnancies, but somehow are expecting them to follow their guidelines",0,1
"So going by what #NirmalaSitharaman said, in India, you can only have free #CovidVaccine if you vote BJP and Modi G… https://t.co/jNcQzCkMwX",1,0
Our #CovidVaccine and treatment potential is in great hands. I’m proud to work with and support these excellent peo… https://t.co/CKS7yKTvoR,1,0
"Report from an employee at US Postal Service in LA CROSSE, WI on Oct 19, 2020: ""In building (mail carriers) CDC guidelines adressing COVID19 are not being followed. 1) Employees are not informed...  https://t.co/t2LOPkLb89",0,1
"Do the political staffers and politicians see this?   Canadians deserve transparency. When Americans were getting vaxxed, CDC quickly released new guidelines. Life is going back to normal. When will do the same?   #cdnpoli",1,0
"Federal judge rules in favor of Florida, tosses out CDC cruise guidelines  https://t.co/vJjpvqQ7Vs",0,1
A 25-year-old man from Nevada is the first known American to catch #COVID-19 twice. The patient has since recovered… https://t.co/vwiFi3dggB,0,1
Russia have introduced the first #CovidVaccine &amp; I guess what an amazing news 😍 I hope it works amazing as well 🤞🏻… https://t.co/zWXNBZbL4z,1,0
Hopefully they will release information on the adverse event #clinicaltrial #CovidVaccine https://t.co/z2lXMJH6Ut,1,0
"Do we have an operation #warpspeed ? 

https://t.co/Su4efqdbzb",1,0
"“The general population appears desensitized to the threat, and individuals are not following CDC guidelines related to mask-wearing for unvaccinated persons or maintaining social distancing in crowded indoor locations.”",0,1
Of course. Then please follow cdc guidelines on the unvaccinated and we will all get through this healthily.,0,1
please help us spread the word #covidwarriors #MythAndFact #COVID19India #CovidVaccine… https://t.co/451g1JYAOh,1,0
did cdc and federal guidelines train or are you not enforcing masks on public transit. I’m wearing a mask and 80% of other ladies aren’t. Wellington station. T ambassador not telling folks to mask up. #shame #WearAMask,0,1
So true...just like analysis a few months ago: mandatory #Covid_19 #facemasks is the entry point int… https://t.co/V9oSgYbpYY,0,1
"No Known Data on Quality, Efficacy and Safety of #Russian #COVIDVaccine: Germany.

https://t.co/RoMkvbgKMO",1,0
"Sadly, I think the only way to protect ourselves from these selfish assholes is to continue to mask and keep to the CDC guidelines we were following last winter.",0,1
